titulo,año,duracion,pais,director,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada
Del revés 2 (Inside Out 2),2024,88,No disponible,No disponible,"['Animación', 'Fantástico', 'Aventuras', 'Comedia']",7.1,23682,Película,https://www.filmaffinity.com/es/film103131.html,2025-04-07,Comedia 2024,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2020
Haikyu!! La batalla del basurero,2024,85,No disponible,No disponible,"['Animación', 'Comedia', 'Drama']",7.0,562,Película,https://www.filmaffinity.com/es/film323347.html,2025-04-07,Comedia 2024,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020
Kneecap,2024,105,No disponible,No disponible,"['Comedia', 'Drama']",7.0,3269,Película,https://www.filmaffinity.com/es/film786132.html,2025-04-07,Comedia 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020
Casa en llamas,2024,105,No disponible,No disponible,"['Comedia', 'Drama']",7.0,16782,Película,https://www.filmaffinity.com/es/film304830.html,2025-04-07,Comedia 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020
Por todo lo alto,2024,103,No disponible,No disponible,"['Drama', 'Comedia']",6.8,597,Película,https://www.filmaffinity.com/es/film221256.html,2025-04-07,Comedia 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020
Wallace y Gromit: La venganza se sirve con plumas,2024,78,No disponible,No disponible,"['Animación', 'Comedia']",6.8,1695,Película,https://www.filmaffinity.com/es/film243249.html,2025-04-07,Comedia 2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020
Misericordia,2024,104,No disponible,No disponible,"['Thriller', 'Drama', 'Comedia']",6.6,514,Película,https://www.filmaffinity.com/es/film535701.html,2025-04-07,Comedia 2024,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020
"Flow, un mundo que salvar",2024,83,No disponible,No disponible,"['Animación', 'Aventuras']",7.3,7986,Película,https://www.filmaffinity.com/es/film989516.html,2025-04-07,Animación 2024,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020
Buffalo Kids,2024,82,No disponible,No disponible,"['Animación', 'Infantil', 'Aventuras', 'Western']",6.3,1607,Película,https://www.filmaffinity.com/es/film431394.html,2025-04-07,Animación 2024,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2020
Aquella Navidad,2024,90,No disponible,No disponible,"['Animación', 'Comedia', 'Drama']",6.2,1080,Película,https://www.filmaffinity.com/es/film733302.html,2025-04-07,Animación 2024,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020
