titulo,año,duracion,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada,generos_list,popularidad,epoca,duracion_cat
Memorias de un caracol,2024,94,"['Animación', 'Drama', 'Comedia']",7.6,2341,Película,https://www.filmaffinity.com/es/film734032.html,2025-04-07,Comedia 2024,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020,"['Animación', 'Drama', 'Comedia']",Media,Actual,Normal
Del revés 2 (Inside Out 2),2024,88,"['Animación', 'Fantástico', 'Aventuras', 'Comedia']",7.1,23682,Película,https://www.filmaffinity.com/es/film103131.html,2025-04-07,Comedia 2024,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2020,"['Animación', 'Fantástico', 'Aventuras', 'Comedia']",Muy Alta,Actual,Corto
Haikyu!! La batalla del basurero,2024,85,"['Animación', 'Comedia', 'Drama']",7.0,562,Película,https://www.filmaffinity.com/es/film323347.html,2025-04-07,Comedia 2024,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020,"['Animación', 'Comedia', 'Drama']",Baja,Actual,Corto
Kneecap,2024,105,"['Comedia', 'Drama']",7.0,3269,Película,https://www.filmaffinity.com/es/film786132.html,2025-04-07,Comedia 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020,"['Comedia', 'Drama']",Media,Actual,Normal
Casa en llamas,2024,105,"['Comedia', 'Drama']",7.0,16782,Película,https://www.filmaffinity.com/es/film304830.html,2025-04-07,Comedia 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020,"['Comedia', 'Drama']",Alta,Actual,Normal
Por todo lo alto,2024,103,"['Drama', 'Comedia']",6.8,597,Película,https://www.filmaffinity.com/es/film221256.html,2025-04-07,Comedia 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020,"['Drama', 'Comedia']",Baja,Actual,Normal
Wallace y Gromit: La venganza se sirve con plumas,2024,78,"['Animación', 'Comedia']",6.8,1695,Película,https://www.filmaffinity.com/es/film243249.html,2025-04-07,Comedia 2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,"['Animación', 'Comedia']",Media,Actual,Corto
Misericordia,2024,104,"['Thriller', 'Drama', 'Comedia']",6.6,514,Película,https://www.filmaffinity.com/es/film535701.html,2025-04-07,Comedia 2024,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020,"['Thriller', 'Drama', 'Comedia']",Baja,Actual,Normal
"Flow, un mundo que salvar",2024,83,"['Animación', 'Aventuras']",7.3,7986,Película,https://www.filmaffinity.com/es/film989516.html,2025-04-07,Animación 2024,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020,"['Animación', 'Aventuras']",Alta,Actual,Corto
Buffalo Kids,2024,82,"['Animación', 'Infantil', 'Aventuras', 'Western']",6.3,1607,Película,https://www.filmaffinity.com/es/film431394.html,2025-04-07,Animación 2024,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2020,"['Animación', 'Infantil', 'Aventuras', 'Western']",Media,Actual,Corto
